기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
한익스프레스,014130,B이하,C,B이하,B이하,2013
한올바이오파마,009420,B이하,B,B이하,B이하,2013
한온시스템,018880,B이하,C,B이하,B+,2013
한양증권,001750,B이하,B+,B이하,B이하,2013
한신공영,004960,B이하,B,B이하,B이하,2013
한진,002320,B이하,B,B이하,B+,2013
한솔홈데코,025750,B이하,C,B이하,B+,2013
한솔홀딩스,004150,B+,B,B+,B+,2013
한솔피엔에스,,B이하,C,B이하,B이하,2013
한솔테크닉스,004710,B이하,B,B이하,B이하,2013
한솔케미칼,014680,B이하,C,B이하,B+,2013
한세엠케이,069640,B이하,B,B이하,B이하,2013
이수화학,005950,B이하,C,B+,B+,2013
한성기업,003680,B이하,C,B이하,B이하,2013
한라홀딩스,,B이하,B,B이하,B+,2013
한라,,B+,B+,B+,B이하,2013
대원강업,000430,B이하,B,B이하,B이하,2013
한섬,020000,B이하,B,B이하,B이하,2013
한샘,009240,B이하,B+,B이하,B이하,2013
한미약품,128940,B+,B,B+,B+,2013
한미사이언스,008930,B이하,B,B이하,B이하,2013
한미반도체,042700,B이하,B+,B이하,B이하,2013
한미글로벌,053690,B이하,B,B이하,B이하,2013
한독,002390,B+,B+,B이하,B+,2013
한국철강,104700,B+,B+,B이하,B+,2013
한국카본,017960,B이하,B,B이하,B이하,2013
한농화성,011500,B이하,B,B이하,B이하,2013
한국화장품제조,003350,B이하,C,B이하,B이하,2013
한국화장품,123690,B이하,B,B이하,B이하,2013
한국항공우주,047810,B+,B+,B+,B이하,2013
한국프랜지공업,,B이하,C,B이하,B이하,2013
한국특수형강,,B이하,B,B이하,B이하,2013
한국타이어월드와이드,,A,B+,A,A,2013
코스모신소재,005070,B이하,C,B이하,B이하,2013
한국주강,025890,B이하,C,B이하,B이하,2013
풀무원,017810,A,A,A,B+,2013
한국석유공업,,B이하,B,B이하,B이하,2013
한국단자공업,,B이하,B,B이하,B이하,2013
한국종합기술,023350,B이하,B,B이하,B이하,2013
한국제지,,B이하,B,B이하,B+,2013
한국전자홀딩스,006200,B이하,C,B이하,B이하,2013
한국전력공사,,A,B+,A,A,2013
한국유리공업,,B이하,C,B이하,B이하,2013
한국쉘석유,002960,B+,B+,B+,B+,2013
한국수출포장공업,,B이하,B,B이하,B+,2013
한국내화,010040,B이하,B,B이하,B이하,2013
하나투어,039130,B이하,B,B이하,B이하,2013
한국주철관공업,,B이하,C,B이하,B이하,2013
한국금융지주,071050,B이하,A,B이하,B이하,2013
한국공항,005430,B이하,C,B+,B이하,2013
한국가스공사,036460,B+,B+,A,B+,2013
하이트진로홀딩스,000140,B이하,B+,B이하,B이하,2013
하이트진로,000080,B+,B,B+,B+,2013
하이트론씨스템즈,,B이하,B,B이하,B이하,2013
하이스틸,071090,B이하,B,B이하,B이하,2013
한국콜마홀딩스,024720,B이하,C,B이하,B이하,2013
하나금융지주,086790,A,A+,B+,B+,2013
필룩스,,B이하,B,B이하,B이하,2013
평화산업,090080,B이하,B,B이하,B이하,2013
티비에이치글로벌,,B이하,C,B이하,B이하,2013
티에이치엔,019180,B이하,C,B이하,B이하,2013
폴루스바이오팜,,B이하,C,B이하,B이하,2013
포스코플랜텍,,B이하,C,B+,B+,2013
포스코대우,,B+,B+,B+,B이하,2013
포스코강판,,B+,B,B+,B+,2013
포스코,,A,A+,A,A,2013
평화홀딩스,010770,B이하,B,B이하,B이하,2013
페이퍼코리아,001020,B이하,C,B이하,B이하,2013
풍산홀딩스,005810,B이하,B,B이하,B이하,2013
퍼시스,016800,B이하,B,B이하,B+,2013
퍼스텍,010820,B이하,B,B이하,B이하,2013
팬오션,028670,B+,B,B+,B+,2013
팜스코,036580,B이하,C,B이하,B이하,2013
파브코,,B이하,B,B이하,B이하,2013
파미셀,005690,B이하,C,B이하,B이하,2013
팀스,,B이하,B,B이하,B이하,2013
티이씨코,,B이하,D,B이하,B이하,2013
텔코웨어,078000,B이하,B,B이하,B이하,2013
태평양물산,007980,B이하,B,B이하,B이하,2013
코스모화학,005420,B이하,B,B이하,B+,2013
코아스,071950,B이하,B,B이하,B이하,2013
키움증권,039490,B이하,B+,B이하,B이하,2013
태원물산,001420,B이하,B,B이하,B이하,2013
태영건설,009410,B이하,B+,B이하,B이하,2013
태양금속공업,,B이하,B,B이하,B이하,2013
태림포장,011280,B이하,C,B이하,B이하,2013
태광산업,003240,B이하,D,B이하,B이하,2013
태경화학,,B이하,C,B이하,B이하,2013
태경산업,015890,B이하,B,B이하,B이하,2013
키위미디어그룹,,B이하,C,B이하,B이하,2013
크라운해태홀딩스,005740,B이하,B,B이하,B이하,2013
풍산,103140,B+,B+,B이하,B+,2013
콤텍시스템,031820,B이하,B,B이하,B이하,2013
코웨이,021240,B+,B,A,A,2013
코오롱플라스틱,138490,B+,B+,B+,B+,2013
코오롱인더,120110,B+,B+,B이하,B+,2013
코오롱글로벌,003070,B이하,B+,B이하,B이하,2013
코오롱,002020,B이하,B,B이하,B이하,2013
코스맥스비티아이,044820,B이하,B,B이하,B이하,2013
동국실업,,B이하,C,B이하,B이하,2013
대원전선,006340,B이하,C,B이하,B이하,2013
카프로,006380,B이하,B,B이하,B+,2013
케이티앤지,,A,A+,A,A,2013
케이티스카이라이프,,B이하,B,B+,B이하,2013
동원산업,006040,B이하,B,B이하,B이하,2013
케이티,,A,A+,A,A,2013
케이씨티시,,B이하,C,B이하,B이하,2013
케이씨씨,,B+,B+,B이하,B+,2013
케이씨,029460,B이하,B,B이하,B이하,2013
케이비증권,,B이하,B+,B이하,B이하,2013
체시스,033250,B이하,C,B이하,B이하,2013
롯데손해보험,000400,B이하,B+,B+,B이하,2013
청호컴넷,,B이하,C,B이하,B이하,2013
만호제강,001080,B이하,B,B이하,B이하,2013
마니커,027740,B이하,D,B이하,B이하,2013
롯데하이마트,071840,B+,A,B+,B이하,2013
롯데푸드,,B이하,C,B이하,B+,2013
롯데케미칼,011170,A,B+,A,A,2013
롯데칠성음료,,B+,B,A,B+,2013
롯데지주,004990,B+,B+,B+,B+,2013
롯데쇼핑,023530,B+,B+,B+,A,2013
케이티스,,B이하,B+,B이하,B이하,2013
동국제강,001230,B+,B+,B이하,B+,2013
디씨엠,024090,B이하,B,B이하,B이하,2013
광동제약,009290,B이하,B,B이하,B이하,2013
동원시스템즈,014820,B이하,C,B이하,B이하,2013
두산중공업,,A+,A,A+,A+,2013
디피씨,,B이하,B,B이하,B이하,2013
디티알오토모티브,,B이하,C,B이하,B이하,2013
디와이,013570,B이하,B,B이하,B이하,2013
디아이씨,092200,B이하,B,B이하,B이하,2013
디아이,003160,B이하,C,B이하,B이하,2013
두산,000150,A+,A+,A,A+,2013
락앤락,115390,B이하,B+,B이하,B이하,2013
두산인프라코어,,A,A,A+,A,2013
두산엔진,,A,A,A,B+,2013
두산건설,,B+,B+,A,B+,2013
동화약품,000020,B이하,B,B이하,B이하,2013
동일제지,,B이하,C,B이하,B이하,2013
동일산업,004890,B이하,B,B이하,B이하,2013
동일방직,,B이하,B,B이하,B이하,2013
로케트전기,,B이하,B,B이하,B이하,2013
롯데정밀화학,004000,B이하,B,B이하,B이하,2013
동원수산,030720,B이하,C,B이하,B이하,2013
동남합성,023450,B이하,C,B이하,B이하,2013
동양,001520,B이하,B,B이하,B이하,2013
동원F&B,049770,B이하,C,B이하,B이하,2013
동아에스텍,,B이하,B,B이하,B이하,2013
동원,,B이하,B,B이하,B이하,2013
동양철관,008970,B이하,C,B이하,B이하,2013
동양생명,082640,B이하,B+,B이하,B이하,2013
동양물산기업,,B이하,B,B이하,B이하,2013
동양네트웍스,,B이하,C,B이하,B이하,2013
동양고속,084670,B이하,B,B이하,B이하,2013
동아지질,028100,B이하,B,B이하,B이하,2013
동원금속,018500,B이하,C,B이하,B이하,2013
동아쏘시오홀딩스,000640,B이하,B+,B이하,B이하,2013
도화엔지니어링,002150,B이하,B+,B이하,B이하,2013
동성화학,,B이하,C,B이하,B이하,2013
동성제약,002210,B이하,C,B이하,B이하,2013
동부제철,,B이하,C,B+,B+,2013
동부건설,005960,B이하,B,B이하,B이하,2013
동방아그로,007590,B이하,B,B이하,B이하,2013
동방,004140,B이하,B,B이하,B이하,2013
도레이케미칼,,B이하,C,B+,B+,2013
덕성,004830,B이하,B,B이하,B이하,2013
대원제약,003220,B이하,B,B이하,B이하,2013
대원화성,024890,B이하,C,B이하,B이하,2013
대한전선,001440,B이하,C,B이하,B+,2013
더존비즈온,012510,B이하,C,B이하,B이하,2013
대호에이엘,069460,B이하,C,B이하,B이하,2013
대현,016090,B이하,B,B이하,B이하,2013
대한화섬,003830,B이하,C,B이하,B이하,2013
대한항공,003490,A,B+,A,A,2013
대한제분,001130,B이하,B,B이하,B이하,2013
대한제당,001790,B이하,B,B이하,B이하,2013
대한제강,084010,B이하,B,B이하,B+,2013
대한유화,006650,B이하,C,B이하,B이하,2013
덕양산업,024900,B이하,C,B이하,B이하,2013
대한방직,001070,B이하,B,B이하,B이하,2013
대창단조,015230,B이하,B,B이하,B이하,2013
대창,012800,B이하,C,B이하,B+,2013
대유플러스,000300,B이하,C,B이하,B이하,2013
대유에이텍,002880,B이하,C,B이하,B이하,2013
코리안리,003690,B+,A,B이하,B이하,2013
티웨이홀딩스,004870,B이하,D,B이하,B이하,2013
코리아써키트,007810,B이하,C,B이하,B이하,2013
KPX홀딩스,092230,B이하,B,B이하,B이하,2013
대성합동지주,,B이하,B,B이하,B이하,2013
대성에너지,117580,B이하,B,B이하,B이하,2013
대우조선해양,042660,B+,B+,B+,B+,2013
대우부품,009320,B이하,C,B이하,B이하,2013
대우건설,047040,A,B+,A,A,2013
대영포장,014160,B이하,C,B이하,B이하,2013
대양금속,009190,B이하,D,B이하,B이하,2013
대신증권,003540,B이하,A,B이하,B이하,2013
대성홀딩스,016710,B이하,B,B이하,B이하,2013
대성산업,128820,B이하,B,B이하,B이하,2013
대구백화점,006370,B이하,B,B이하,B이하,2013
대덕GDS,,B이하,B,B이하,B+,2013
대상홀딩스,084690,B이하,C,B이하,B이하,2013
대상,001680,B이하,C,B이하,B+,2013
대림통상,006570,B이하,C,B이하,B이하,2013
대림산업,,B+,A,B+,B+,2013
대림비앤코,,B이하,B,B이하,B이하,2013
대동전자,008110,B이하,C,B이하,B이하,2013
대덕전자,353200,B+,B,B+,B+,2013
STX중공업,071970,B이하,C,B+,B+,2013
대경기계기술,,B이하,B,B이하,B이하,2013
STX조선해양,,B+,B,B+,B+,2013
넥솔론,,B이하,B+,B이하,B이하,2013
넥센타이어,002350,B이하,B,B이하,B+,2013
다우기술,023590,B이하,C,B이하,B이하,2013
농심홀딩스,072710,B이하,B,B이하,B이하,2013
농심,004370,B이하,B,B이하,B+,2013
녹십자홀딩스,005250,B이하,B,B이하,B이하,2013
녹십자,006280,B이하,C,B이하,B이하,2013
노루홀딩스,000320,B이하,B,B이하,B이하,2013
노루페인트,090350,B이하,C,B이하,B+,2013
넥센,005720,B이하,B,B이하,B이하,2013
까뮤이앤씨,013700,B이하,C,B이하,B이하,2013
대교,019680,B이하,A,B이하,B이하,2013
남해화학,025860,B이하,C,B이하,B+,2013
남영비비안,,B이하,C,B이하,B이하,2013
남양유업,003920,B이하,B,B이하,B+,2013
남성,004270,B이하,C,B이하,B이하,2013
남선알미늄,008350,B이하,C,B이하,B이하,2013
나노메딕스,,B이하,C,B이하,B이하,2013
깨끗한나라,004540,B이하,B,B이하,B+,2013
기업은행,024110,B+,B+,B+,B+,2013
기아자동차,,B+,B+,A,B+,2013
기신정기,092440,B이하,B+,B이하,B이하,2013
극동유화,014530,B이하,B,B이하,B이하,2013
골든브릿지증권,,B이하,C,B이하,B이하,2013
금호전기,001210,B이하,C,B이하,B이하,2013
금호석유화학,,B+,B+,B+,A,2013
금호산업,,B이하,C,B+,B이하,2013
금양,001570,B이하,B,B이하,B이하,2013
금비,008870,B이하,C,B이하,B이하,2013
금강공업,014280,B이하,B,B이하,B이하,2013
글로스텍,,B이하,D,B이하,B이하,2013
국제약품,002720,B이하,C,B이하,B이하,2013
경농,002100,B이하,C,B이하,B+,2013
국보,001140,B이하,C,B이하,B이하,2013
국동,005320,B이하,C,B이하,B이하,2013
국도화학,007690,B이하,B,B이하,B+,2013
교보증권,030610,B이하,B,B이하,B이하,2013
광주신세계,037710,B이하,B,B+,B이하,2013
광전자,017900,B이하,B,B이하,B이하,2013
대웅제약,069620,B이하,B,B이하,B이하,2013
광명전기,017040,B이하,B,B이하,B이하,2013
고려제강,002240,B이하,C,B이하,B+,2013
고려아연,010130,B이하,B,B이하,B+,2013
고려산업,002140,B이하,C,B이하,B이하,2013
TCC동양,,B이하,C,B이하,B이하,2013
고려개발,,B이하,C,B이하,B이하,2013
계양전기,012200,B이하,B,B+,B이하,2013
계룡건설산업,,B이하,B,B+,B이하,2013
경인전자,009140,B이하,B,B이하,B이하,2013
경인양행,012610,B이하,B,B이하,B이하,2013
경방,000050,B이하,B,B이하,B이하,2013
경동인베스트,012320,B이하,B,B이하,B이하,2013
경동나비엔,009450,B이하,C,B이하,B이하,2013
경남에너지,,B이하,B,B이하,B이하,2013
금호타이어,073240,B이하,B,B이하,B+,2013
경남기업,,B이하,C,B이하,B이하,2013
갤럭시아에스엠,011420,B이하,C,B이하,B이하,2013
강원랜드,035250,B+,B+,A,B+,2013
강남제비스코,000860,B이하,B,B이하,B이하,2013
가온전선,000500,B이하,B,B이하,B이하,2013
YG PLUS,037270,B이하,C,B이하,B이하,2013
WISCOM,024070,B이하,B,B이하,B이하,2013
대웅,003090,B이하,C,B이하,B이하,2013
대동공업,,B이하,B,B이하,B이하,2013
SKC,011790,A,B+,A,A,2013
SK가스,018670,B+,B+,B+,B이하,2013
STX엔진,077970,B+,B,B+,B+,2013
SPC삼립,005610,B이하,B,B이하,B이하,2013
SK하이닉스,000660,A,B+,A+,A,2013
SK텔레콤,017670,A,B+,A,A,2013
SK증권,001510,B이하,B+,B+,B이하,2013
SK이노베이션,096770,B+,B,A,A,2013
SK디스커버리,006120,B+,B+,B+,A,2013
SK네트웍스,001740,B+,A,B+,B이하,2013
SK,034730,B이하,B,B+,B이하,2013
OCI,010060,A,B+,A,A,2013
S&T중공업,,B이하,B,B이하,B이하,2013
SIMPAC,009160,B이하,C,B이하,B이하,2013
SH에너지화학,002360,B이하,C,B이하,B이하,2013
SG세계물산,004060,B이하,C,B이하,B이하,2013
SBS미디어홀딩스,,B이하,C,B이하,B이하,2013
SBS,034120,B이하,B+,B이하,B이하,2013
S-Oil,010950,A+,A,A+,A+,2013
S&T홀딩스,,B이하,B,B이하,B이하,2013
S&T모티브,,B이하,B,B이하,B이하,2013
LG디스플레이,034220,B+,B+,A,B+,2013
LF,093050,B이하,B,B이하,B이하,2013
LS산전,,B+,B+,B+,B+,2013
LS,006260,B이하,B+,B이하,B이하,2013
NI스틸,008260,B이하,C,B이하,B이하,2013
STX,011810,B+,B,B+,B+,2013
NICE,034310,B이하,B,B이하,B이하,2013
NH투자증권,005940,B+,B+,B+,B이하,2013
NH농협증권,,B이하,B,B이하,B이하,2013
NAVER,035420,B+,B+,B+,B이하,2013
MH에탄올,023150,B이하,C,B이하,B이하,2013
LS네트웍스,000680,B이하,B,B이하,B이하,2013
LG상사,,B+,B+,B+,B+,2013
LG화학,051910,A,A,A,B+,2013
S&TC,,B이하,B,B이하,B이하,2013
LG하우시스,,A,B+,A,A,2013
LG전자,066570,A,B+,A,A,2013
LG이노텍,011070,A,B+,A,A,2013
LG유플러스,032640,B+,A,B이하,B이하,2013
LG생활건강,051900,A,B+,A+,A,2013
LG생명과학,,B+,B+,B+,B+,2013
LG,003550,B+,A,B+,B이하,2013
SK,034730,A,B+,A+,A,2013
KTcs,058850,B이하,B,B이하,B이하,2013
한세실업,105630,B이하,B,B이하,B이하,2013
GKL,114090,B이하,B+,B+,B이하,2013
GS,078930,B이하,B+,B이하,B이하,2013
GS건설,006360,A,A,A,A,2013
KSS해운,044450,B이하,B,B이하,B이하,2013
KR모터스,000040,B이하,C,B이하,B이하,2013
KPX케미칼,025000,B이하,B+,B이하,B이하,2013
KPX그린케미칼,,B이하,B,B이하,B+,2013
KG케미칼,001390,B이하,D,B이하,B이하,2013
KGP,,B이하,C,B이하,B이하,2013
KEC,092220,B이하,B,B이하,B이하,2013
KC코트렐,119650,B이하,B,B이하,B이하,2013
KC그린홀딩스,009440,B이하,B,B이하,B이하,2013
KB캐피탈,,B이하,B+,B이하,B이하,2013
KB손해보험,,A,A,A,B+,2013
KB금융,105560,A+,A+,A+,A+,2013
JW홀딩스,096760,B이하,B,B이하,B이하,2013
JW중외제약,001060,B이하,C,B이하,B이하,2013
GS리테일,007070,B이하,B,B이하,B이하,2013
GS글로벌,001250,B이하,B,B이하,B이하,2013
F&F,383220,B이하,B,B이하,B이하,2013
KISCO홀딩스,001940,B이하,B,B이하,B이하,2013
AK홀딩스,006840,B이하,C,B이하,B이하,2013
CJ제일제당,097950,B+,B,A,A,2013
CS홀딩스,000590,B이하,C,B이하,B이하,2013
E1,017940,B이하,B,B이하,B이하,2013
DRB동일,004840,B이하,C,B이하,B이하,2013
DGB금융지주,139130,B+,A,B이하,B+,2013
DB하이텍,000990,B+,B+,B이하,B+,2013
DB손해보험,005830,B+,B+,B+,B+,2013
DB금융투자,016610,B이하,C,B이하,B이하,2013
DB,012030,B이하,B,B이하,B이하,2013
DSR제강,069730,B이하,C,B이하,B이하,2013
KTB투자증권,,B이하,B+,B이하,B이하,2013
CJ씨푸드,011150,B이하,C,B이하,B이하,2013
CJ대한통운,000120,B+,B+,A,B+,2013
CJ CGV,079160,B이하,B,B이하,B이하,2013
CJ,001040,B+,B,A,B이하,2013
BYC,001460,B이하,B,B이하,B이하,2013
BNK금융지주,138930,B+,A,A,B이하,2013
세아특수강,019440,B이하,B,B이하,B이하,2012
서흥,008490,B이하,B,B이하,B이하,2012
선도전기,007610,B이하,C,B이하,B이하,2012
세방전지,004490,B+,B+,B+,B+,2012
세이브존I&C,067830,B이하,B,B이하,B이하,2012
세원정공,021820,B이하,B,B이하,B이하,2012
세원셀론텍,,B이하,C,B이하,B이하,2012
세우글로벌,013000,B이하,C,B이하,B이하,2012
세아홀딩스,058650,B이하,B,B이하,B이하,2012
세방,004360,B이하,B,B이하,B이하,2012
세아제강,306200,B이하,B,B이하,B+,2012
세아베스틸,,B이하,B,B이하,B+,2012
성보화학,003080,B이하,B,B이하,B이하,2012
선진지주,,B이하,C,B이하,B이하,2012
케이티앤지,,A,A+,A+,B+,2012
성창기업지주,000180,B이하,B,B이하,B이하,2012
성지건설,,B이하,C,B이하,B이하,2012
성신양회,004980,B이하,B,B이하,B+,2012
성안,011300,B이하,C,B이하,B이하,2012
삼익악기,002450,B이하,B,B이하,B이하,2012
서원,021050,B이하,B,B이하,B이하,2012
삼성생명,032830,B이하,B+,B이하,B이하,2012
삼일제약,000520,B이하,B,B이하,B이하,2012
삼환기업,,B이하,B,B이하,B이하,2012
벽산,007210,B이하,C,B이하,B+,2012
선창산업,,B이하,B,B이하,B이하,2012
서울식품공업,,B이하,B,B이하,B이하,2012
서울도시가스,,B이하,B+,B이하,B이하,2012
서연,007860,B이하,B,B이하,B이하,2012
샘표,007540,B이하,B,B이하,B+,2012
새론오토모티브,075180,B이하,B,B이하,B+,2012
상신브레이크,041650,B이하,B,B이하,B이하,2012
삼화페인트공업,,B+,B+,B+,B+,2012
삼정펄프,009770,B이하,B,B이하,B이하,2012
삼화콘덴서공업,,B이하,B,B이하,B이하,2012
삼화전자공업,,B이하,C,B이하,B이하,2012
삼화전기,009470,B이하,C,B이하,B이하,2012
삼화왕관,004450,B이하,C,B이하,B이하,2012
삼호개발,010960,B이하,B,B이하,B이하,2012
삼호,,B이하,B,B+,B이하,2012
삼천리,004690,B+,B+,B+,B이하,2012
삼진제약,005500,B이하,B,B이하,B이하,2012
성문전자,014910,B이하,C,B이하,B이하,2012
삼성전기,009150,A+,A,A+,A+,2012
삼익THK,004380,B이하,B,B이하,B이하,2012
삼아알미늄,006110,B이하,B,B이하,B이하,2012
삼영전자공업,,B+,B,B+,B+,2012
삼성화재해상보험,,A,A,A,B+,2012
삼영무역,002810,B이하,B,B이하,B이하,2012
삼양홀딩스,000070,B이하,B,B이하,B+,2012
삼양제넥스,,B+,B,B+,B+,2012
삼양엔텍,,B이하,C,B이하,B이하,2012
삼양식품,003230,B이하,C,B이하,B이하,2012
삼양사,145990,B이하,B,B+,B이하,2012
삼성카드,029780,B이하,B+,B+,B이하,2012
삼부토건,001470,B이하,C,B이하,B이하,2012
삼성물산,028260,A,B+,A,A,2012
삼성출판사,068290,,B,B이하,,2012
삼성증권,016360,A,A,A+,B+,2012
삼성중공업,010140,B+,B,A+,B+,2012
삼성제약,001360,,B,,B이하,2012
삼성전자,005930,A,A,A,A,2012
삼성엔지니어링,028050,B+,B+,B+,B이하,2012
백산,035150,B이하,B,B이하,B이하,2012
삼성공조,006660,B이하,B,B이하,B이하,2012
보락,002760,B이하,B,B이하,B+,2012
삼원강재,023000,B이하,C,B이하,B이하,2012
빙그레,005180,B이하,B,B+,B이하,2012
삼영화학공업,,B이하,B,B이하,B이하,2012
부산주공,005030,B이하,B,B이하,B이하,2012
삼광글라스,,B이하,B,B이하,B이하,2012
사조해표,,B이하,B,B이하,B이하,2012
사조오양,006090,B이하,B,B이하,B이하,2012
사조산업,007160,B이하,C,B이하,B이하,2012
사조동아원,008040,B이하,C,B이하,B이하,2012
사조대림,003960,B이하,B,B이하,B이하,2012
비상교육,100220,,B,B이하,,2012
보령제약,,B이하,B,B이하,B이하,2012
부산산업,011390,B이하,B,B이하,B이하,2012
삼성SDI,006400,A,B+,A,A+,2012
부산도시가스,,B이하,B,B이하,B이하,2012
부국철강,026940,B이하,B,B이하,B이하,2012
부국증권,001270,,B,B이하,,2012
부광약품,003000,B이하,B+,B이하,B이하,2012
보해양조,000890,B이하,C,B이하,B+,2012
보루네오가구,,B이하,B,B이하,B이하,2012
대한전선,001440,B이하,B,B이하,B+,2012
롯데푸드,,B이하,C,B이하,B+,2012
백광산업,001340,B이하,B,B이하,B+,2012
동아에스텍,,B이하,B,B이하,B이하,2012
메디플란트,,B이하,C,B이하,B이하,2012
미래산업,025560,B이하,B+,B이하,B이하,2012
배명금속,,B이하,C,B이하,B이하,2012
방림,003610,B이하,B,B이하,B이하,2012
미창석유공업,,B이하,B,B이하,B이하,2012
미원홀딩스,107590,B이하,B,B이하,B이하,2012
미원상사,002840,B이하,B,B이하,B이하,2012
미래에셋증권,006800,B이하,B+,B+,B이하,2012
미래에셋대우,,B+,B+,B+,B+,2012
미래아이앤지,007120,B이하,C,B이하,B이하,2012
문배철강,008420,B이하,B,B이하,B이하,2012
메리츠종금증권,,B이하,B+,B이하,B이하,2012
무학,033920,B이하,B,B이하,B이하,2012
무림페이퍼,009200,B이하,B,B이하,B+,2012
무림P&P,009580,B이하,B,B이하,B이하,2012
모토닉,009680,B이하,B,B이하,B이하,2012
모나미,005360,B이하,B,B이하,B이하,2012
모나리자,012690,B이하,C,B이하,B이하,2012
명문제약,017180,B이하,B,B이하,B이하,2012
만호제강,001080,B이하,B,B이하,B이하,2012
마니커,027740,B이하,C,B이하,B이하,2012
두산중공업,,A,A,A+,A,2012
롯데손해보험,000400,B+,A,A,B이하,2012
세기상사,002420,,C,B이하,,2012
백광소재,,B이하,C,B이하,B이하,2012
롯데하이마트,071840,B이하,B+,B이하,B이하,2012
롯데케미칼,011170,A,B+,A+,A+,2012
롯데칠성음료,,B+,B,A,B+,2012
롯데지주,004990,A,B+,A,A,2012
롯데정밀화학,004000,B+,B+,B+,B+,2012
롯데쇼핑,023530,A,A,A+,A,2012
롯데미도파,,B+,B+,B+,B+,2012
디씨엠,024090,B이하,B,B이하,B이하,2012
롯데관광개발,032350,B이하,B,B이하,B이하,2012
로케트전기,,B이하,C,B이하,B이하,2012
락앤락,115390,B이하,B+,B이하,B이하,2012
디피씨,,B이하,B,B이하,B이하,2012
디티알오토모티브,,B이하,C,B이하,B이하,2012
디와이,013570,B이하,B+,B이하,B이하,2012
디아이씨,092200,B이하,B,B이하,B이하,2012
디아이,003160,B이하,C,B이하,B이하,2012
메리츠화재,000060,B+,A,B+,B이하,2012
두산인프라코어,,A+,A+,A+,A+,2012
두산엔진,,B+,A,B+,B+,2012
동원금속,018500,B이하,C,B이하,B이하,2012
동원F&B,049770,B이하,B,B이하,B이하,2012
동화약품,000020,B이하,B+,B이하,B이하,2012
동일제지,,B이하,B,B이하,B이하,2012
동일산업,004890,,B,,B+,2012
동일방직,,B이하,B,B이하,B이하,2012
동원시스템즈,014820,B이하,C,B이하,B이하,2012
동원수산,030720,B이하,B,B이하,B이하,2012
동원산업,006040,B이하,B,B이하,B이하,2012
동원,,B이하,C,B이하,B이하,2012
동성화학,,B이하,B,B이하,B이하,2012
동아쏘시오홀딩스,000640,B+,B+,B이하,B+,2012
동양철관,008970,B이하,C,B이하,B이하,2012
동양생명,082640,B이하,B+,B이하,B이하,2012
동양물산기업,,B이하,B+,B이하,B이하,2012
동양네트웍스,,,C,B이하,,2012
동양고속,084670,B이하,B,B이하,B이하,2012
동양,001520,B이하,B,B이하,B이하,2012
동아지질,028100,B이하,B,B이하,B이하,2012
두산,000150,A+,A+,A+,A+,2012
동성제약,002210,B이하,B,B이하,B이하,2012
두산건설,,B+,B+,A,B+,2012
도화엔지니어링,002150,B이하,B+,B이하,B이하,2012
도레이케미칼,,B이하,C,B+,B+,2012
동부제철,,B+,B,B+,B+,2012
동부건설,005960,B이하,B+,B이하,B이하,2012
동방아그로,007590,B이하,B,B이하,B이하,2012
동방,004140,B이하,C,B이하,B이하,2012
동남합성,023450,B이하,C,B이하,B이하,2012
동국제강,001230,B+,B+,B이하,B+,2012
동국실업,,B이하,C,B이하,B이하,2012
덕양산업,024900,B이하,B,B이하,B이하,2012
대한제당,001790,B이하,B,B이하,B이하,2012
동성코퍼레이션,,B이하,B,B이하,B이하,2012
덕성,004830,B이하,B,B이하,B이하,2012
더존비즈온,012510,,C,B이하,,2012
대호에이엘,069460,B이하,C,B이하,B+,2012
대현,016090,B이하,B,B이하,B이하,2012
대한화섬,003830,B이하,C,B이하,B이하,2012
대한항공,003490,A,B,A,A+,2012
대한제분,001130,B이하,B,B이하,B이하,2012
대한제강,084010,B+,B,B+,B+,2012
한진중공업홀딩스,003480,B이하,B+,B이하,B이하,2012
대한유화,006650,B이하,B,B이하,B+,2012
한샘,009240,B이하,B,B이하,B이하,2012
후성,093370,B이하,B,B이하,B이하,2012
대창단조,015230,B이하,C,B이하,B이하,2012
한섬,020000,B이하,B,B이하,B이하,2012
대창,012800,B이하,B,B이하,B+,2012
흥아해운,003280,B이하,B,B이하,B이하,2012
휴켐스,,B+,B,B+,B+,2012
휴스틸,005010,B이하,B,B이하,B+,2012
휴니드테크놀러지스,,B이하,C,B이하,B이하,2012
휠라코리아,,B이하,B,B이하,B이하,2012
효성 ITX,,,B,B이하,,2012
화성산업,002460,B이하,B+,B이하,B이하,2012
효성,004800,B+,B+,B이하,B+,2012
황금에스티,032560,B이하,B,B이하,B이하,2012
환인제약,016580,B이하,B+,B이하,B이하,2012
화천기공,000850,B이하,B,B이하,B이하,2012
화천기계,010660,B이하,B,B이하,B이하,2012
화신,010690,B이하,C,B이하,B이하,2012
화승인더스트리,,B이하,C,B이하,B이하,2012
화승알앤에이,378850,B이하,B,B이하,B+,2012
호텔신라,008770,B이하,B,B이하,B이하,2012
혜인,003010,B이하,B,B이하,B이하,2012
형지엘리트,093240,B이하,B,B이하,B이하,2012
현대자동차,,A,A,A,A,2012
현대홈쇼핑,057050,B이하,B,B+,B이하,2012
현대해상,001450,B+,A,A,B이하,2012
현대하이스코,,B+,B+,B이하,B+,2012
